index,seismic,seismoacoustic,shift,genergy,gpuls,gdenergy,gdpuls,ghazard,nbumps,nbumps2,nbumps3,nbumps4,nbumps5,energy,maxenergy
29,a,a,W,172290.0,437.0,-57.0,-55.0,a,1.0,1.0,0.0,0.0,0.0,600.0,600.0
30,a,a,W,395110.0,1043.0,46.0,40.0,a,3.0,0.0,3.0,0.0,0.0,6000.0,2000.0
31,a,a,N,51320.0,239.0,11.0,23.0,a,1.0,0.0,1.0,0.0,0.0,6000.0,6000.0
32,a,a,W,144880.0,361.0,-46.0,-52.0,a,1.0,0.0,1.0,0.0,0.0,2000.0,2000.0
33,a,a,W,477750.0,1132.0,86.0,60.0,a,3.0,3.0,0.0,0.0,0.0,1500.0,600.0
34,a,a,N,71840.0,255.0,54.0,28.0,a,1.0,0.0,1.0,0.0,0.0,6000.0,6000.0
36,a,a,W,514800.0,1369.0,95.0,94.0,a,7.0,4.0,2.0,1.0,0.0,15700.0,10000.0
37,a,a,N,69440.0,266.0,41.0,30.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,a,a,N,28460.0,117.0,-45.0,-45.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,a,a,N,23220.0,112.0,-53.0,-45.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,a,a,N,16630.0,81.0,-65.0,-59.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,a,a,N,8750.0,47.0,-80.0,-75.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,a,a,N,20150.0,64.0,-51.0,-62.0,a,1.0,0.0,1.0,0.0,0.0,5000.0,5000.0
43,a,a,N,15590.0,82.0,-59.0,-48.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,a,a,W,102720.0,265.0,-64.0,-66.0,a,2.0,1.0,1.0,0.0,0.0,2700.0,2000.0
45,a,a,W,250030.0,687.0,-8.0,-5.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,a,a,N,39510.0,204.0,12.0,40.0,a,1.0,0.0,1.0,0.0,0.0,5000.0,5000.0
47,a,b,N,64200.0,198.0,86.0,35.0,a,1.0,1.0,0.0,0.0,0.0,500.0,500.0
48,a,b,W,309010.0,983.0,15.0,38.0,b,2.0,1.0,1.0,0.0,0.0,1800.0,1000.0
49,a,b,N,59060.0,264.0,65.0,85.0,b,1.0,0.0,1.0,0.0,0.0,6000.0,6000.0
50,a,b,N,66510.0,215.0,93.0,50.0,b,1.0,1.0,0.0,0.0,0.0,300.0,300.0
51,a,b,W,248900.0,739.0,-9.0,0.0,b,1.0,1.0,0.0,0.0,0.0,400.0,400.0
52,a,b,N,51620.0,186.0,51.0,34.0,a,1.0,0.0,1.0,0.0,0.0,7000.0,7000.0
53,a,b,N,45150.0,140.0,24.0,-4.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,a,b,N,60460.0,191.0,56.0,29.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,a,a,N,18330.0,91.0,-57.0,-43.0,a,1.0,0.0,1.0,0.0,0.0,4000.0,4000.0
56,a,a,N,50580.0,134.0,15.0,-18.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,a,a,W,269070.0,767.0,-1.0,4.0,a,2.0,2.0,0.0,0.0,0.0,800.0,400.0
58,a,a,N,37360.0,171.0,-21.0,0.0,a,1.0,0.0,1.0,0.0,0.0,4000.0,4000.0
59,a,a,W,372770.0,975.0,37.0,32.0,a,3.0,3.0,0.0,0.0,0.0,1400.0,700.0
60,a,a,N,44180.0,203.0,-10.0,13.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,a,a,N,32070.0,138.0,-36.0,-23.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,a,a,N,31540.0,121.0,-32.0,-30.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,a,a,N,46380.0,133.0,6.0,-16.0,a,1.0,0.0,1.0,0.0,0.0,5000.0,5000.0
64,a,a,N,18160.0,78.0,-57.0,-48.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,a,a,N,147520.0,472.0,-2.0,-6.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,a,a,W,202640.0,588.0,-33.0,-41.0,a,2.0,1.0,1.0,0.0,0.0,4300.0,4000.0
67,a,a,W,259110.0,1409.0,-11.0,46.0,a,1.0,1.0,0.0,0.0,0.0,900.0,900.0
68,a,a,N,40210.0,193.0,-71.0,-59.0,a,1.0,0.0,1.0,0.0,0.0,5000.0,5000.0
69,a,a,N,59210.0,175.0,-54.0,-61.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,a,a,W,590510.0,1780.0,23.0,-6.0,a,1.0,1.0,0.0,0.0,0.0,800.0,800.0
71,a,a,N,75930.0,305.0,-38.0,-27.0,a,1.0,0.0,1.0,0.0,0.0,6000.0,6000.0
72,a,a,N,73030.0,240.0,25.0,7.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,a,a,W,317360.0,1068.0,-36.0,-44.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,a,a,W,227990.0,734.0,-52.0,-59.0,a,2.0,1.0,1.0,0.0,0.0,4300.0,4000.0
75,a,a,N,96080.0,433.0,60.0,92.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,a,a,W,210960.0,773.0,-44.0,-35.0,a,1.0,0.0,1.0,0.0,0.0,5000.0,5000.0
77,a,a,N,24900.0,159.0,-57.0,-29.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,a,a,W,302440.0,1250.0,-16.0,9.0,a,2.0,2.0,0.0,0.0,0.0,600.0,300.0
79,a,a,N,46160.0,250.0,-16.0,15.0,a,1.0,0.0,1.0,0.0,0.0,6000.0,6000.0
80,a,b,W,436650.0,1232.0,23.0,6.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,a,b,N,58230.0,279.0,8.0,27.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,a,b,N,36380.0,222.0,-32.0,-2.0,a,1.0,0.0,1.0,0.0,0.0,4000.0,4000.0
83,a,b,W,169370.0,644.0,-53.0,-45.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,a,b,N,96600.0,383.0,87.0,70.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,a,a,W,233810.0,839.0,-31.0,-24.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,a,a,W,149050.0,697.0,-54.0,-35.0,a,1.0,0.0,1.0,0.0,0.0,6000.0,6000.0
87,a,a,N,63550.0,325.0,15.0,35.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,a,a,W,194580.0,697.0,-35.0,-32.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,a,a,N,63550.0,325.0,15.0,35.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,a,a,W,194580.0,697.0,-35.0,-32.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,a,a,N,46020.0,267.0,-18.0,6.0,a,1.0,0.0,1.0,0.0,0.0,5000.0,5000.0
92,a,a,N,104390.0,331.0,91.0,29.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,a,a,W,285750.0,791.0,1.0,-19.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,a,a,N,26510.0,106.0,-55.0,-60.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,a,a,N,25580.0,120.0,-54.0,-53.0,a,1.0,0.0,1.0,0.0,0.0,6000.0,6000.0
96,a,a,W,298230.0,916.0,9.0,-2.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,a,a,N,39040.0,231.0,-26.0,-5.0,a,1.0,0.0,1.0,0.0,0.0,5000.0,5000.0
98,a,a,N,54990.0,182.0,1.0,-28.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,a,a,W,172120.0,537.0,-35.0,-41.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,a,a,N,25280.0,158.0,-54.0,-35.0,a,1.0,0.0,1.0,0.0,0.0,4000.0,4000.0
101,a,a,W,270040.0,717.0,10.0,-14.0,a,2.0,2.0,0.0,0.0,0.0,800.0,500.0
102,a,a,N,41120.0,132.0,-21.0,-43.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,a,a,N,22710.0,68.0,-57.0,-70.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,a,a,N,13160.0,46.0,-71.0,-76.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,a,a,N,19500.0,80.0,-51.0,-51.0,a,1.0,0.0,1.0,0.0,0.0,4000.0,4000.0
106,a,a,N,12970.0,53.0,-65.0,-64.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,a,a,W,166700.0,363.0,-34.0,-56.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,a,a,W,274170.0,997.0,15.0,34.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,a,b,N,56120.0,222.0,100.0,89.0,a,1.0,0.0,1.0,0.0,0.0,5000.0,5000.0
110,a,b,W,226790.0,717.0,2.0,0.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,a,b,W,134640.0,611.0,-41.0,-16.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,a,b,N,49910.0,208.0,61.0,61.0,a,1.0,0.0,1.0,0.0,0.0,3000.0,3000.0
113,a,b,W,328050.0,707.0,51.0,0.0,a,1.0,1.0,0.0,0.0,0.0,200.0,200.0
114,a,b,W,140090.0,380.0,-40.0,-46.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,a,a,N,42820.0,150.0,28.0,9.0,a,1.0,0.0,1.0,0.0,0.0,3000.0,3000.0
116,a,a,W,157740.0,440.0,-31.0,-35.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,a,a,W,325750.0,1068.0,50.0,67.0,a,1.0,0.0,1.0,0.0,0.0,3000.0,3000.0
118,a,a,W,300520.0,894.0,37.0,37.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,a,a,W,465730.0,1325.0,-7.0,-12.0,a,1.0,0.0,1.0,0.0,0.0,4000.0,4000.0
120,a,a,W,336600.0,984.0,-32.0,-34.0,a,1.0,0.0,1.0,0.0,0.0,4000.0,4000.0
121,a,a,N,112300.0,263.0,-55.0,-65.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,a,a,W,951410.0,1332.0,98.0,-7.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,a,a,N,203850.0,476.0,-14.0,-32.0,a,1.0,0.0,1.0,0.0,0.0,3000.0,3000.0
124,a,a,W,715390.0,1923.0,36.0,36.0,a,1.0,1.0,0.0,0.0,0.0,300.0,300.0
125,a,a,N,160350.0,828.0,-31.0,23.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,a,a,N,76150.0,260.0,-52.0,-50.0,a,1.0,0.0,1.0,0.0,0.0,4000.0,4000.0
127,a,a,W,373180.0,1246.0,-32.0,-14.0,a,1.0,0.0,1.0,0.0,0.0,2000.0,2000.0
128,a,a,W,481630.0,1678.0,-10.0,17.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,a,a,W,620720.0,1789.0,17.0,23.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,a,a,N,99160.0,514.0,-34.0,4.0,a,1.0,0.0,1.0,0.0,0.0,4000.0,4000.0
131,a,a,N,280830.0,689.0,94.0,39.0,a,1.0,0.0,1.0,0.0,0.0,3000.0,3000.0
132,a,a,W,557230.0,1642.0,2.0,11.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,a,a,N,65800.0,259.0,-58.0,-49.0,a,1.0,0.0,1.0,0.0,0.0,4000.0,4000.0
134,a,a,N,270490.0,865.0,83.0,78.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,a,a,W,307540.0,1020.0,-44.0,-32.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,a,a,N,51230.0,222.0,-68.0,-57.0,a,1.0,0.0,1.0,0.0,0.0,3000.0,3000.0
137,a,a,W,314100.0,904.0,-41.0,-37.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,a,a,W,368340.0,1325.0,-28.0,-4.0,a,1.0,0.0,1.0,0.0,0.0,2000.0,2000.0
139,a,a,N,114540.0,488.0,-23.0,0.0,a,2.0,0.0,2.0,0.0,0.0,8000.0,5000.0
140,a,a,W,316200.0,1089.0,-37.0,-21.0,a,3.0,1.0,2.0,0.0,0.0,2700.0,1000.0
141,a,a,N,209760.0,919.0,46.0,89.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,a,a,N,46300.0,197.0,-69.0,-63.0,a,1.0,0.0,1.0,0.0,0.0,5000.0,5000.0
143,a,a,W,372380.0,1264.0,-26.0,-9.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,a,a,N,47830.0,264.0,-65.0,-47.0,a,1.0,0.0,1.0,0.0,0.0,3000.0,3000.0
145,a,a,W,396530.0,1209.0,-10.0,-13.0,a,1.0,0.0,1.0,0.0,0.0,6000.0,6000.0
146,a,a,N,87740.0,357.0,-30.0,-24.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,a,a,N,74570.0,308.0,-41.0,-35.0,a,2.0,0.0,2.0,0.0,0.0,4000.0,3000.0
148,a,a,N,37490.0,224.0,-70.0,-51.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,a,a,W,303610.0,1034.0,-26.0,-21.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,a,a,W,278230.0,1060.0,-31.0,-18.0,a,1.0,1.0,0.0,0.0,0.0,900.0,900.0
151,a,a,N,64930.0,273.0,-35.0,-33.0,a,1.0,0.0,1.0,0.0,0.0,5000.0,5000.0
152,a,a,W,498960.0,1447.0,30.0,17.0,a,1.0,1.0,0.0,0.0,0.0,900.0,900.0
153,a,a,W,443740.0,1321.0,20.0,10.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,a,a,N,39620.0,195.0,-61.0,-53.0,a,1.0,0.0,1.0,0.0,0.0,4000.0,4000.0
155,a,a,W,788230.0,1484.0,-1.0,-1.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,a,a,N,119460.0,269.0,-70.0,-64.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,a,a,N,65100.0,172.0,-82.0,-75.0,a,1.0,0.0,1.0,0.0,0.0,3000.0,3000.0
158,a,b,W,1049580.0,1807.0,31.0,21.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,b,c,W,974430.0,1828.0,20.0,20.0,a,2.0,1.0,0.0,1.0,0.0,20600.0,20000.0
162,b,c,W,696470.0,1368.0,-16.0,-12.0,a,2.0,1.0,1.0,0.0,0.0,2400.0,2000.0
163,b,c,N,61620.0,195.0,-33.0,-4.0,a,1.0,0.0,1.0,0.0,0.0,3000.0,3000.0
164,a,c,W,1124850.0,2153.0,37.0,39.0,a,3.0,1.0,2.0,0.0,0.0,3900.0,2000.0
165,a,b,W,640820.0,1235.0,-25.0,-23.0,a,1.0,0.0,1.0,0.0,0.0,5000.0,5000.0
166,a,b,W,1096910.0,2037.0,31.0,29.0,a,2.0,1.0,1.0,0.0,0.0,3700.0,3000.0
167,a,b,N,155540.0,363.0,74.0,79.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,a,b,W,722590.0,2125.0,-17.0,30.0,a,2.0,0.0,2.0,0.0,0.0,5000.0,4000.0
169,a,b,W,582700.0,1232.0,-32.0,-28.0,a,1.0,0.0,1.0,0.0,0.0,7000.0,7000.0
170,a,b,W,691310.0,1416.0,-14.0,-6.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,a,b,W,698810.0,1279.0,-11.0,-14.0,a,3.0,0.0,3.0,0.0,0.0,8000.0,4000.0
172,a,b,N,94110.0,314.0,-76.0,-58.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,a,a,W,716630.0,1677.0,-8.0,14.0,a,2.0,2.0,0.0,0.0,0.0,700.0,500.0
174,a,a,W,641120.0,1571.0,-17.0,6.0,a,1.0,1.0,0.0,0.0,0.0,800.0,800.0
176,a,a,W,790830.0,1434.0,5.0,-4.0,a,2.0,0.0,1.0,1.0,0.0,13000.0,10000.0
177,a,b,N,390180.0,938.0,6.0,33.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,a,b,N,69360.0,257.0,-81.0,-65.0,a,1.0,0.0,1.0,0.0,0.0,4000.0,4000.0
179,a,b,W,936850.0,1737.0,24.0,17.0,a,2.0,1.0,1.0,0.0,0.0,2600.0,2000.0
180,a,b,N,432690.0,1012.0,30.0,50.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,a,a,W,441960.0,1006.0,-42.0,-33.0,a,3.0,0.0,3.0,0.0,0.0,6000.0,3000.0
182,a,a,W,912890.0,2001.0,25.0,37.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,a,a,W,446210.0,1030.0,-40.0,-32.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,a,a,N,84630.0,233.0,-75.0,-67.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,a,a,N,77540.0,174.0,-75.0,-73.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,a,a,N,117040.0,328.0,-57.0,-45.0,a,1.0,0.0,1.0,0.0,0.0,2000.0,2000.0
187,a,a,N,414700.0,900.0,69.0,63.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,a,a,W,960770.0,2117.0,36.0,44.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,a,b,W,763520.0,2079.0,5.0,36.0,b,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,a,b,W,541040.0,1295.0,-26.0,-19.0,b,4.0,3.0,1.0,0.0,0.0,4200.0,3000.0
191,a,b,W,1127430.0,3031.0,58.0,90.0,a,1.0,1.0,0.0,0.0,0.0,300.0,300.0
192,a,b,W,664090.0,1824.0,-12.0,5.0,a,2.0,2.0,0.0,0.0,0.0,1100.0,600.0
193,a,a,W,320150.0,1012.0,-58.0,-42.0,a,2.0,0.0,2.0,0.0,0.0,5000.0,3000.0
194,a,a,W,768080.0,2124.0,8.0,24.0,a,1.0,1.0,0.0,0.0,0.0,300.0,300.0
195,a,a,W,474770.0,1512.0,-32.0,-14.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,a,a,W,682910.0,1486.0,-2.0,-18.0,a,2.0,0.0,2.0,0.0,0.0,6000.0,4000.0
197,a,a,W,1256570.0,3289.0,86.0,88.0,a,3.0,2.0,1.0,0.0,0.0,6200.0,5000.0
198,a,a,W,576040.0,1541.0,-24.0,-22.0,a,1.0,1.0,0.0,0.0,0.0,900.0,900.0
199,a,a,W,782750.0,1593.0,9.0,-17.0,a,2.0,0.0,2.0,0.0,0.0,6000.0,3000.0
200,a,a,W,1371400.0,3040.0,91.0,63.0,a,1.0,1.0,0.0,0.0,0.0,300.0,300.0
201,a,a,W,891720.0,2037.0,11.0,0.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,b,b,W,2129020.0,3722.0,161.0,91.0,b,2.0,1.0,0.0,1.0,0.0,20600.0,20000.0
204,b,b,W,1547010.0,3060.0,55.0,38.0,a,3.0,1.0,2.0,0.0,0.0,6500.0,4000.0
205,b,b,W,924910.0,1869.0,-14.0,-19.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,a,a,W,1988970.0,3697.0,78.0,57.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,a,a,N,218630.0,645.0,-11.0,14.0,a,1.0,0.0,1.0,0.0,0.0,3000.0,3000.0
208,a,a,W,1018360.0,2263.0,-19.0,-12.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,a,a,W,1189240.0,2159.0,-3.0,-12.0,a,3.0,2.0,1.0,0.0,0.0,5200.0,4000.0
210,a,a,W,1582550.0,2545.0,23.0,1.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,a,a,W,927530.0,1777.0,-32.0,-32.0,a,1.0,0.0,1.0,0.0,0.0,3000.0,3000.0
212,a,a,W,2052510.0,3635.0,55.0,46.0,a,1.0,1.0,0.0,0.0,0.0,800.0,800.0
213,a,a,W,1260100.0,2519.0,-12.0,-5.0,a,1.0,1.0,0.0,0.0,0.0,600.0,600.0
214,a,a,W,1062280.0,1982.0,-27.0,-27.0,a,2.0,1.0,1.0,0.0,0.0,5200.0,5000.0
215,a,a,W,2196220.0,3848.0,62.0,51.0,a,3.0,1.0,2.0,0.0,0.0,8500.0,4000.0
216,a,a,W,1138340.0,2106.0,-20.0,-20.0,a,2.0,0.0,2.0,0.0,0.0,11000.0,9000.0
217,a,a,W,918020.0,1759.0,-36.0,-34.0,a,2.0,0.0,2.0,0.0,0.0,5000.0,3000.0
219,b,a,W,1699290.0,3425.0,21.0,36.0,a,1.0,0.0,0.0,1.0,0.0,50000.0,50000.0
220,b,b,N,301550.0,922.0,32.0,66.0,a,1.0,0.0,1.0,0.0,0.0,3000.0,3000.0
221,b,b,W,1355970.0,2326.0,-7.0,-12.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,a,b,W,2595650.0,4365.0,81.0,66.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,a,b,W,2160800.0,4518.0,35.0,57.0,a,4.0,2.0,2.0,0.0,0.0,5100.0,2000.0
224,a,a,W,1367850.0,3137.0,-15.0,5.0,a,1.0,0.0,1.0,0.0,0.0,1000.0,1000.0
225,a,a,N,251120.0,624.0,1.0,1.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,a,a,N,157450.0,418.0,-33.0,-31.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,a,a,N,129740.0,306.0,-39.0,-44.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,a,a,N,144520.0,407.0,-34.0,-27.0,a,1.0,0.0,1.0,0.0,0.0,3000.0,3000.0
229,a,a,W,1345240.0,3510.0,-17.0,16.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,a,a,W,2102300.0,4014.0,27.0,26.0,a,2.0,0.0,2.0,0.0,0.0,4000.0,3000.0
231,a,a,N,219070.0,475.0,15.0,-4.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,a,a,W,628360.0,636.0,-37.0,-58.0,a,2.0,1.0,1.0,0.0,0.0,2300.0,2000.0
233,a,a,W,1449990.0,1581.0,51.0,12.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,a,a,W,1531530.0,1680.0,52.0,18.0,a,2.0,0.0,2.0,0.0,0.0,5000.0,3000.0
235,a,b,N,195510.0,321.0,-61.0,-57.0,a,1.0,0.0,1.0,0.0,0.0,6000.0,6000.0
236,a,b,W,1312110.0,1471.0,24.0,2.0,a,1.0,0.0,1.0,0.0,0.0,3000.0,3000.0
237,a,b,N,315650.0,645.0,-33.0,-9.0,a,1.0,0.0,1.0,0.0,0.0,5000.0,5000.0
239,b,b,W,1283710.0,1556.0,17.0,9.0,a,2.0,1.0,0.0,1.0,0.0,40600.0,40000.0
240,b,b,W,1134540.0,1363.0,1.0,-5.0,a,2.0,0.0,2.0,0.0,0.0,7000.0,5000.0
241,b,a,W,525630.0,734.0,-54.0,-48.0,a,1.0,1.0,0.0,0.0,0.0,200.0,200.0
242,a,a,W,1661100.0,1772.0,52.0,32.0,a,1.0,0.0,1.0,0.0,0.0,9000.0,9000.0
243,a,a,W,1310730.0,1504.0,13.0,9.0,a,2.0,1.0,1.0,0.0,0.0,4200.0,4000.0
244,a,a,W,1101540.0,1185.0,-7.0,-14.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,a,b,W,1496830.0,1645.0,21.0,15.0,a,3.0,2.0,1.0,0.0,0.0,5700.0,5000.0
246,a,b,W,1323740.0,1405.0,7.0,-2.0,a,1.0,0.0,1.0,0.0,0.0,3000.0,3000.0
