index,dst_port,protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts/s,flow_pkts/s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts/s,bwd_pkts/s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down/up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts/b_avg,fwd_pkts/b_avg,fwd_blk_rate_avg,bwd_byts/b_avg,bwd_pkts/b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,anomaly
10,445,6,282396,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,14.1645065794,94132.0,162985.118010817,282331,1,282396,141198.0,199682.712366394,282395,1,0,0.0,0.0,0,0,0,0,0,0,72,32,10.6233799346,3.5411266449,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
11,443,6,10466194,11,12,2008,4434,1078,0,182.5454545455,315.1251699361,1460,0,369.5,539.4811480403,615.5055027644,2.197551469,475736.090909091,2172613.61257116,10202612,0,263419,26341.9,27398.0951545906,70565,31,10421507,947409.727272727,3077903.56969428,10227380,0,0,0,0,0,232,252,1.0510028765,1.1465485925,0,1460,268.4166666667,440.8614015338,194358.775362319,0,0,1,1,0,0,0,1,1,280.0869565217,182.5454545455,369.5,0,0,0,0,0,0,11,2008,12,4434,8192,8002,6,20,263419.0,0.0,263419,263419,10202612.0,0.0,10202612,10202612,0
12,443,6,143,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,13986.013986014,143.0,0.0,143,143,143,143.0,0.0,143,143,0,0.0,0.0,0,0,0,0,0,0,40,0,13986.013986014,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,255,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
13,443,6,20634701,6,8,709,3695,388,0,118.1666666667,159.6225756798,1460,0,461.875,652.7494460248,213.4268870676,0.67846876,1587284.69230769,5659180.0007477,20421985,1,140514,28102.8,24794.1772136121,47027,301,20589834,2941404.85714286,7708266.04298086,20421985,1,0,0,0,0,132,172,0.2907723257,0.3876964343,0,1460,293.6,507.610902731,257668.828571428,0,0,1,1,0,0,0,1,1,314.5714285714,118.1666666667,461.875,0,0,0,0,0,0,6,709,8,3695,8192,7483,3,20,212496.0,0.0,212496,212496,20421985.0,0.0,20421985,20421985,0
14,443,6,257,3,0,31,0,31,0,10.3333333333,17.8978583449,0,0,0.0,0.0,120622.568093385,11673.1517509728,128.5,109.6015510839,206,51,257,128.5,109.6015510839,206,51,0,0.0,0.0,0,0,0,0,0,0,60,0,11673.1517509728,0.0,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.3333333333,10.3333333333,0.0,0,0,0,0,0,0,3,31,0,0,255,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
15,443,6,92392,8,8,1818,3898,1078,0,227.25,360.6243593706,1460,0,487.25,639.5062269327,61866.8282968222,173.1751666811,6159.4666666667,10174.6623943055,23969,0,70162,10023.1428571429,12028.7614827763,23992,28,70603,10086.1428571429,12585.3312157259,24333,0,0,0,0,0,172,172,86.5875833405,86.5875833405,0,1460,336.2352941176,510.1254171049,260227.941176471,0,0,1,1,0,0,0,1,1,357.25,227.25,487.25,0,0,0,0,0,0,8,1818,8,3898,8192,8192,5,20,0.0,0.0,0,0,0.0,0.0,0,0,0
16,443,6,261,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,7662.8352490422,261.0,0.0,261,261,261,261.0,0.0,261,261,0,0.0,0.0,0,0,0,0,0,0,40,0,7662.8352490422,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,257,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
17,443,6,61102096,15,14,870,3306,535,0,58.0,144.6315515864,1460,0,236.1428571429,521.7581015025,68.344627654,0.4746154698,2182217.71428571,4158210.52236559,10007209,1,61102096,4364435.42857143,5119082.79023246,10077863,3971,61030972,4694690.15384615,5188687.74597322,10082740,1,0,0,0,0,312,284,0.2454907603,0.2291247096,0,1460,139.2,375.1650119706,140748.786206897,0,0,1,1,0,0,0,1,0,144.0,58.0,236.1428571429,0,0,0,0,0,0,15,870,14,3306,8192,31088,9,20,125260.166666667,132979.41027906,396703,70654,10000460.1666667,15664.7878430149,10007209,9968487,0
18,80,6,5943835,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.672966191,1981278.33333333,3421417.43884232,5931985,16,5943835,2971917.5,4186167.60403982,5931985,11850,0,0.0,0.0,0,0,0,0,0,0,72,32,0.5047246433,0.1682415478,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,65535,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
19,443,6,17545321,11,12,2017,4426,1078,0,183.3636363636,315.1752759108,1460,0,368.8333333333,539.7120163625,367.2204116414,1.3108908067,797514.590909091,3699784.03290347,17362143,1,183177,18317.7,21896.3402627014,72435,46,17523361,1593032.81818182,5246703.98110478,17412393,1,0,0,0,0,232,252,0.6269477771,0.6839430296,0,1460,268.4583333333,440.856772479,194354.69384058,0,0,1,1,0,0,0,1,1,280.1304347826,183.3636363636,368.8333333333,0,0,0,0,0,0,11,2017,12,4426,8192,7856,6,20,183177.0,0.0,183177,183177,17362143.0,0.0,17362143,17362143,0
20,443,6,239,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,8368.2008368201,239.0,0.0,239,239,239,239.0,0.0,239,239,0,0.0,0.0,0,0,0,0,0,0,40,0,8368.2008368201,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,255,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
21,443,6,94868,6,7,717,3695,387,0,119.5,160.5649401333,1460,0,527.8571428571,675.6193278692,46506.7251338702,137.0325083274,7905.6666666667,11254.0274757192,24549,1,71569,14313.8,12444.9455482939,24581,258,72781,12130.1666666667,13291.310611323,24828,1,0,0,0,0,132,152,63.2457730742,73.7867352532,0,1460,315.1428571429,519.865198081,270259.824175824,0,0,1,1,0,0,0,1,1,339.3846153846,119.5,527.8571428571,0,0,0,0,0,0,6,717,7,3695,8192,7475,3,20,0.0,0.0,0,0,0.0,0.0,0,0,0
22,443,6,118,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,16949.1525423729,118.0,0.0,118,118,118,118.0,0.0,118,118,0,0.0,0.0,0,0,0,0,0,0,40,0,16949.1525423729,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,258,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
23,443,6,93313,10,7,1846,3898,1077,0,184.6,330.0882710226,1460,0,556.8571428571,657.1971871951,61556.2676154448,182.182546912,5832.0625,10019.4862174914,23911,1,93313,10368.1111111111,11933.7415281676,23955,29,70395,11732.5,12865.1864930128,24237,1,0,0,0,0,212,152,107.1662040659,75.0163428461,0,1460,319.1111111111,500.0293978286,250029.39869281,0,0,1,1,0,0,0,1,0,337.8823529412,184.6,556.8571428571,0,0,0,0,0,0,10,1846,7,3898,8192,8192,6,20,0.0,0.0,0,0,0.0,0.0,0,0,0
24,443,6,9985070,11,12,2017,4436,1078,0,183.3636363636,315.1752759108,1460,0,369.6666666667,539.4206207225,646.2648734561,2.3034390345,453866.818181818,2088272.81752707,9803276,1,181793,18179.3,25324.7717991254,82836,28,9963161,905741.909090909,2971026.05817726,9863654,1,0,0,0,0,232,252,1.1016447556,1.2017942789,0,1460,268.875,440.7853971088,194291.766304348,0,0,1,1,0,0,0,1,1,280.5652173913,183.3636363636,369.6666666667,0,0,0,0,0,0,11,2017,12,4436,8192,8002,6,20,181793.0,0.0,181793,181793,9803276.0,0.0,9803276,9803276,0
25,443,6,262,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,7633.5877862596,262.0,0.0,262,262,262,262.0,0.0,262,262,0,0.0,0.0,0,0,0,0,0,0,40,0,7633.5877862596,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,255,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
26,445,6,175993,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,22.7281766888,58664.3333333333,101555.916781512,175931,1,175993,87996.5,124444.429527802,175992,1,0,0.0,0.0,0,0,0,0,0,0,72,32,17.0461325166,5.6820441722,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
27,443,6,15553576,8,7,749,3695,388,0,93.625,144.5178560396,1460,0,527.8571428571,675.6193278692,285.7220744606,0.9644084421,1110969.71428571,4114647.51623713,15406708,1,15553576,2221939.42857143,5846764.04361509,15481128,47,15530057,2588342.83333333,6279750.38392099,15406708,1,0,0,0,0,172,152,0.5143511691,0.450057273,0,1460,277.75,494.7189774677,244746.866666667,0,0,1,1,0,0,0,1,0,296.2666666667,93.625,527.8571428571,0,0,0,0,0,0,8,749,7,3695,8192,7474,4,20,146427.0,0.0,146427,146427,15406708.0,0.0,15406708,15406708,0
28,0,0,116996657,76,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.6495912101,1559955.42666667,1908222.64589635,12964087,140327,116996657,1559955.42666667,1908222.64589635,12964087,140327,0,0.0,0.0,0,0,0,0,0,0,0,0,0.6495912101,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,76,0,0,0,-1,-1,0,0,45292431.5,49080644.427937,79997688,10587175,10938171.0,2865077.88342865,12964087,8912255,0
29,445,6,252332,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,15.8521313191,84110.6666666667,144575.779584041,251051,49,252332,126166.0,176683.35720152,251100,1232,0,0.0,0.0,0,0,0,0,0,0,72,32,11.8890984893,3.9630328298,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
30,443,6,4139402,13,11,2039,4434,1078,0,156.8461538462,294.4969853139,1460,0,403.0909090909,552.4768691168,1563.7524454015,5.7979389293,179974.0,802577.262903703,3860517,0,4139402,344950.166666667,1107566.10743286,3860865,39,4092075,409207.5,1222749.56024775,3888536,0,0,0,0,0,272,232,3.1405502534,2.6573886759,0,1460,258.92,434.1742085078,188507.243333333,0,0,1,1,0,0,0,1,0,269.7083333333,156.8461538462,403.0909090909,0,0,0,0,0,0,13,2039,11,4434,8192,7856,7,20,0.0,0.0,0,0,0.0,0.0,0,0,0
31,443,6,60971080,13,15,339,3219,207,0,26.0769230769,64.4792751439,1460,0,214.6,507.3757131414,58.355535116,0.4592341156,2258188.14814815,4221873.09673,10009921,1,60971080,5080923.33333333,5206728.59742307,10077847,172,60902720,4350194.28571429,5147102.58169658,10078729,1,0,0,0,0,272,304,0.2132158394,0.2460182762,0,1460,122.6896551724,374.0235003549,139893.578817734,0,0,1,1,0,0,0,1,1,127.0714285714,26.0769230769,214.6,0,0,0,0,0,0,13,339,15,3219,8192,48180,8,20,96213.8333333333,68183.0092249284,235390,67926,10008292.5,2870.7985474429,10009921,10002477,0
32,443,6,60971210,13,15,339,3264,207,0,26.0769230769,64.4792751439,1460,0,217.6,507.1374567117,59.093463948,0.4592331364,2258192.96296296,4221258.15627905,10008522,0,60971210,5080934.16666667,5206600.43673163,10077854,139,60901300,4350092.85714286,5147223.20403585,10078748,0,0,0,0,0,272,304,0.2132153848,0.2460177517,0,1460,124.2413793103,374.2599035022,140070.475369458,0,0,1,1,0,0,0,1,1,128.6785714286,26.0769230769,217.6,0,0,0,0,0,0,13,339,15,3264,8192,48180,8,20,99850.1666666667,74094.4086916595,251094,69332,10007229.1666667,2471.4096719619,10008522,10002209,0
33,80,6,116753954,18,17,1319,2364,436,0,73.2777777778,166.9176639423,788,0,139.0588235294,309.6466677094,31.5449702029,0.2997757147,3433939.82352941,4735424.50606739,10004073,2,116742507,6867206.29411765,4620054.01411783,10015355,146,116742558,7296409.875,4430472.99794047,10016138,2,0,0,0,0,372,484,0.1541703675,0.1456053471,0,788,102.3055555556,242.3892759821,58752.5611111111,0,0,1,1,0,0,0,1,0,105.2285714286,73.2777777778,139.0588235294,0,0,0,0,0,0,18,1319,17,2364,8192,292,14,20,24598.1666666667,29868.9706029315,89645,11264,9703944.08333334,996237.221630513,10004073,6541507,0
34,80,6,119694393,17,16,597,768,293,0,35.1176470588,97.0643358506,384,0,48.0,131.1609698043,11.4040429613,0.2757021375,3740449.78125,4888317.27007012,10003900,1,119682471,7480154.4375,4439248.79710975,10015350,1711,119682424,7978828.26666667,4129139.5282262,10016591,1,0,0,0,0,352,464,0.1420283739,0.1336737636,0,384,40.1470588235,111.7112436632,12479.4019607843,0,0,1,1,0,0,0,1,0,41.3636363636,35.1176470588,48.0,0,0,0,0,0,0,17,597,16,768,8192,980,13,20,22707.0,25240.257123024,76951,11416,9950832.25,147216.83046762,10003900,9488976,0
35,443,6,20521124,6,8,676,3695,387,0,112.6666666667,155.3520732616,1460,0,461.875,652.7494460248,213.0000286534,0.6822238392,1578548.0,5624696.73486971,20298453,0,141625,28325.0,24871.7121947806,47480,427,20476135,2925162.14285714,7660966.3658913,20298453,0,0,0,0,0,132,172,0.2923816454,0.3898421938,0,1460,291.4,507.9598971797,258023.257142857,0,0,1,1,0,0,0,1,1,312.2142857143,112.6666666667,461.875,0,0,0,0,0,0,6,676,8,3695,8192,7516,3,20,222671.0,0.0,222671,222671,20298453.0,0.0,20298453,20298453,0
36,443,6,209,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,9569.3779904306,209.0,0.0,209,209,209,209.0,0.0,209,209,0,0.0,0.0,0,0,0,0,0,0,40,0,9569.3779904306,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,255,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
37,443,6,8338728,11,12,2008,4434,1078,0,182.5454545455,315.1251699361,1460,0,369.5,539.4811480403,772.5398885777,2.7582144423,379033.090909091,1715730.68229744,8060204,1,278347,27834.7,28889.0499288033,74387,49,8291514,753774.0,2432256.57314926,8086957,1,0,0,0,0,232,252,1.3191460376,1.4390684047,0,1460,268.4166666667,440.8614015338,194358.775362319,0,0,1,1,0,0,0,1,1,280.0869565217,182.5454545455,369.5,0,0,0,0,0,0,11,2008,12,4434,8192,7856,6,20,278347.0,0.0,278347,278347,8060204.0,0.0,8060204,8060204,0
38,443,6,116,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,17241.3793103448,116.0,0.0,116,116,116,116.0,0.0,116,116,0,0.0,0.0,0,0,0,0,0,0,40,0,17241.3793103448,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,255,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
39,445,6,98894,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,40.4473476652,32964.6666666667,56156.2677742506,97806,67,98894,49447.0,68484.7059714795,97873,1021,0,0.0,0.0,0,0,0,0,0,0,80,32,30.3355107489,10.1118369163,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
40,443,6,117211412,30,86,1022,112377,250,0,34.0666666667,69.5150359986,1460,0,1306.7093023256,425.880758409,967.4740544888,0.9896647265,1019229.66956522,7671027.67793166,58901181,0,117211412,4041772.82758621,15064170.7478187,58901181,64,117133006,1378035.36470588,8915498.9223738,58913586,0,0,0,0,0,612,1732,0.2559477741,0.7337169524,0,1460,969.2222222222,672.9183753226,452819.139846744,0,0,1,1,0,0,0,1,2,977.5775862069,34.0666666667,1306.7093023256,0,0,0,0,0,0,30,1022,86,112377,8192,131,8,20,140335.5,88199.5501377416,202702,77969,58426385.0,671462.942560496,58901181,57951589,0
41,443,6,175,3,0,77,0,46,0,25.6666666667,23.4591844132,0,0,0.0,0.0,440000.0,17142.8571428571,87.5,103.9446968344,161,14,175,87.5,103.9446968344,161,14,0,0.0,0.0,0,0,1,0,0,0,60,0,17142.8571428571,0.0,0,46,30.75,21.6852484422,470.25,0,1,0,0,1,0,0,0,0,41.0,25.6666666667,0.0,0,0,0,0,0,0,3,77,0,0,253,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
42,49689,6,1,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,0,0,40,0,2000000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,131,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
43,123,17,64033172,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,2.998445868,0.0624676223,21344390.6666667,36936138.7786758,63994570,19242,64013812,64013812.0,0.0,64013812,64013812,64013930,64013930.0,0.0,64013930,64013930,0,0,0,0,16,16,0.0312338111,0.0312338111,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,60.0,48.0,48.0,0,0,0,0,0,0,2,96,2,96,-1,-1,1,8,19242.0,0.0,19242,19242,63994570.0,0.0,63994570,63994570,0
44,443,6,20584552,6,8,709,3695,388,0,118.1666666667,159.6225756798,1460,0,461.875,652.7494460248,213.9468471308,0.6801216757,1583427.07692308,5646573.44377572,20376179,0,140093,28018.6,24847.2284128431,46836,248,20539600,2934228.57142857,7691228.74981999,20376179,0,0,0,0,0,132,172,0.2914807182,0.3886409575,0,1460,293.6,507.610902731,257668.828571428,0,0,1,1,0,0,0,1,1,314.5714285714,118.1666666667,461.875,0,0,0,0,0,0,6,709,8,3695,8192,7483,3,20,208373.0,0.0,208373,208373,20376179.0,0.0,20376179,20376179,0
45,443,6,206,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,9708.7378640777,206.0,0.0,206,206,206,206.0,0.0,206,206,0,0.0,0.0,0,0,0,0,0,0,40,0,9708.7378640777,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,255,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
46,80,6,45889494,6,5,5,0,1,0,0.8333333333,0.4082482905,0,0,0.0,0.0,0.108957401,0.2397062822,4588949.4,4983530.0064018,10003857,11476,45889494,9177898.8,1872569.86029673,10015360,5828144,40062208,10015552.0,502.1878798483,10016062,10015057,0,0,0,0,120,160,0.1307488812,0.108957401,0,1,0.5,0.5222329679,0.2727272727,0,0,0,0,1,0,0,0,0,0.5454545455,0.8333333333,0.0,0,0,0,0,0,0,6,5,5,0,253,292,4,20,11833.75,305.6974266602,12205,11476,10003503.75,294.588272,10003857,10003145,0
47,80,6,45655059,6,5,5,0,1,0,0.8333333333,0.4082482905,0,0,0.0,0.0,0.1095168884,0.2409371544,4565505.9,4977572.46259775,10003836,11486,45655059,9131011.8,1977401.75819475,10015361,5593728,40060301,10015075.25,362.915394181,10015560,10014691,0,0,0,0,120,160,0.131420266,0.1095168884,0,1,0.5,0.5222329679,0.2727272727,0,0,0,0,1,0,0,0,0,0.5454545455,0.8333333333,0.0,0,0,0,0,0,0,6,5,5,0,253,980,4,20,12020.75,554.4122262962,12754,11486,10003312.0,551.2537225874,10003836,10002571,0
