index,type,operation,amount,balance,bank,k_symbol
643,CREDIT,TRANSFER FROM ACCOUNT,5859.0,12018.0,GH,DUCHOD
645,CREDIT,TRANSFER FROM ACCOUNT,6934.0,7134.0,QR,DUCHOD
652,CREDIT,TRANSFER FROM ACCOUNT,4356.0,9012.0,GH,DUCHOD
653,CREDIT,TRANSFER FROM ACCOUNT,5915.0,6215.0,ST,DUCHOD
655,CREDIT,TRANSFER FROM ACCOUNT,6689.0,14278.0,ST,DUCHOD
659,ISSUE,TRANSFER TO ACCOUNT,9612.0,47502.8,EF,SIPO
661,CREDIT,TRANSFER FROM ACCOUNT,4555.0,5455.0,QR,DUCHOD
664,CREDIT,TRANSFER FROM ACCOUNT,6153.0,7253.0,MN,DUCHOD
665,ISSUE,TRANSFER TO ACCOUNT,3572.0,46380.9,AB,POJISTNE
666,CREDIT,TRANSFER FROM ACCOUNT,5039.0,10478.0,MN,DUCHOD
668,CREDIT,TRANSFER FROM ACCOUNT,4212.0,9124.0,WX,DUCHOD
675,CREDIT,TRANSFER FROM ACCOUNT,5081.0,5881.0,WX,DUCHOD
678,CREDIT,TRANSFER FROM ACCOUNT,5298.0,16336.9,UV,DUCHOD
679,CREDIT,TRANSFER FROM ACCOUNT,4042.0,4542.0,CD,DUCHOD
683,CREDIT,TRANSFER FROM ACCOUNT,5544.0,11588.0,GH,DUCHOD
686,CREDIT,TRANSFER FROM ACCOUNT,5448.0,6348.0,IJ,DUCHOD
688,CREDIT,TRANSFER FROM ACCOUNT,6932.0,7832.0,WX,DUCHOD
691,ISSUE,TRANSFER TO ACCOUNT,7421.0,38959.9,EF,SIPO
712,CREDIT,TRANSFER FROM ACCOUNT,6303.0,7303.0,AB,DUCHOD
728,CREDIT,TRANSFER FROM ACCOUNT,5439.0,6239.0,QR,DUCHOD
731,CREDIT,TRANSFER FROM ACCOUNT,6242.0,12984.0,AB,DUCHOD
732,CREDIT,TRANSFER FROM ACCOUNT,6540.0,6940.0,WX,DUCHOD
760,CREDIT,TRANSFER FROM ACCOUNT,6007.0,18668.0,MN,DUCHOD
764,CREDIT,TRANSFER FROM ACCOUNT,5922.0,6722.0,CD,DUCHOD
775,CREDIT,TRANSFER FROM ACCOUNT,6207.0,19570.7,YZ,DUCHOD
778,CREDIT,TRANSFER FROM ACCOUNT,4758.0,9716.0,GH,DUCHOD
791,CREDIT,TRANSFER FROM ACCOUNT,6745.0,7445.0,EF,DUCHOD
795,CREDIT,TRANSFER FROM ACCOUNT,6614.0,6814.0,CD,DUCHOD
797,CREDIT,TRANSFER FROM ACCOUNT,6310.0,13320.0,KL,DUCHOD
799,CREDIT,TRANSFER FROM ACCOUNT,6434.0,20151.6,OP,DUCHOD
801,CREDIT,TRANSFER FROM ACCOUNT,5671.0,6071.0,UV,DUCHOD
809,CREDIT,TRANSFER FROM ACCOUNT,4276.0,13562.1,UV,DUCHOD
819,CREDIT,TRANSFER FROM ACCOUNT,4327.0,9767.7,AB,DUCHOD
820,CREDIT,TRANSFER FROM ACCOUNT,6698.0,14296.0,YZ,DUCHOD
821,CREDIT,TRANSFER FROM ACCOUNT,6582.0,6782.0,EF,DUCHOD
829,CREDIT,TRANSFER FROM ACCOUNT,5009.0,15262.0,AB,DUCHOD
832,CREDIT,TRANSFER FROM ACCOUNT,5740.0,6140.0,GH,DUCHOD
833,CREDIT,TRANSFER FROM ACCOUNT,5355.0,6255.0,CD,DUCHOD
837,CREDIT,TRANSFER FROM ACCOUNT,4729.0,10170.9,AB,DUCHOD
839,CREDIT,TRANSFER FROM ACCOUNT,5718.0,17695.8,UV,DUCHOD
859,CREDIT,TRANSFER FROM ACCOUNT,6148.0,13412.2,CD,DUCHOD
860,CREDIT,TRANSFER FROM ACCOUNT,4470.0,13853.2,CD,DUCHOD
862,CREDIT,TRANSFER FROM ACCOUNT,5781.0,6681.0,YZ,DUCHOD
866,CREDIT,TRANSFER FROM ACCOUNT,5672.0,5972.0,OP,DUCHOD
1293,CREDIT,TRANSFER FROM ACCOUNT,4843.0,5043.0,AB,DUCHOD
1300,CREDIT,TRANSFER FROM ACCOUNT,5123.0,21362.8,YZ,DUCHOD
1304,CREDIT,TRANSFER FROM ACCOUNT,4807.0,10114.0,OP,DUCHOD
1314,CREDIT,TRANSFER FROM ACCOUNT,5224.0,16472.0,CD,DUCHOD
1315,CREDIT,TRANSFER FROM ACCOUNT,4203.0,8906.0,OP,DUCHOD
1316,CREDIT,TRANSFER FROM ACCOUNT,5079.0,6179.0,UV,DUCHOD
1317,CREDIT,TRANSFER FROM ACCOUNT,5029.0,15487.0,UV,DUCHOD
1318,CREDIT,TRANSFER FROM ACCOUNT,6238.0,19814.0,UV,DUCHOD
1329,CREDIT,TRANSFER FROM ACCOUNT,4718.0,9936.0,OP,DUCHOD
1330,CREDIT,TRANSFER FROM ACCOUNT,4271.0,4971.0,CD,DUCHOD
1335,ISSUE,TRANSFER TO ACCOUNT,1591.0,46877.0,WX,unknown
1336,CREDIT,TRANSFER FROM ACCOUNT,6388.0,13376.0,YZ,DUCHOD
1347,CREDIT,TRANSFER FROM ACCOUNT,5859.0,17877.0,GH,DUCHOD
1349,CREDIT,TRANSFER FROM ACCOUNT,6934.0,14068.0,QR,DUCHOD
1355,CREDIT,TRANSFER FROM ACCOUNT,4356.0,13368.0,GH,DUCHOD
1356,CREDIT,TRANSFER FROM ACCOUNT,5915.0,12130.0,ST,DUCHOD
1359,CREDIT,TRANSFER FROM ACCOUNT,6689.0,20967.0,ST,DUCHOD
1365,ISSUE,TRANSFER TO ACCOUNT,9612.0,24585.6,EF,SIPO
1367,CREDIT,TRANSFER FROM ACCOUNT,4555.0,10010.0,QR,DUCHOD
1370,CREDIT,TRANSFER FROM ACCOUNT,6153.0,13406.0,MN,DUCHOD
1371,ISSUE,TRANSFER TO ACCOUNT,3572.0,43305.0,AB,POJISTNE
1372,CREDIT,TRANSFER FROM ACCOUNT,5039.0,15517.0,MN,DUCHOD
1375,CREDIT,TRANSFER FROM ACCOUNT,4212.0,13336.0,WX,DUCHOD
1387,CREDIT,TRANSFER FROM ACCOUNT,5081.0,10962.0,WX,DUCHOD
1394,CREDIT,TRANSFER FROM ACCOUNT,5298.0,21658.6,UV,DUCHOD
1395,CREDIT,TRANSFER FROM ACCOUNT,4042.0,8584.0,CD,DUCHOD
1404,CREDIT,TRANSFER FROM ACCOUNT,5544.0,17132.0,GH,DUCHOD
1407,CREDIT,TRANSFER FROM ACCOUNT,5448.0,11796.0,IJ,DUCHOD
1409,CREDIT,TRANSFER FROM ACCOUNT,6932.0,14764.0,WX,DUCHOD
1411,ISSUE,TRANSFER TO ACCOUNT,7421.0,35884.0,EF,SIPO
1424,CREDIT,TRANSFER FROM ACCOUNT,6559.0,7159.0,GH,DUCHOD
1436,CREDIT,TRANSFER FROM ACCOUNT,6303.0,13606.0,AB,DUCHOD
1455,CREDIT,TRANSFER FROM ACCOUNT,6177.0,7077.0,IJ,DUCHOD
1464,CREDIT,TRANSFER FROM ACCOUNT,5439.0,11678.0,QR,DUCHOD
1466,CREDIT,TRANSFER FROM ACCOUNT,6242.0,19226.0,AB,DUCHOD
1467,CREDIT,TRANSFER FROM ACCOUNT,6540.0,13480.0,WX,DUCHOD
1498,CREDIT,TRANSFER FROM ACCOUNT,6007.0,24702.6,MN,DUCHOD
1503,CREDIT,TRANSFER FROM ACCOUNT,5922.0,12646.4,CD,DUCHOD
1513,CREDIT,TRANSFER FROM ACCOUNT,4236.0,5236.0,AB,DUCHOD
1517,CREDIT,TRANSFER FROM ACCOUNT,6207.0,25807.3,YZ,DUCHOD
1521,CREDIT,TRANSFER FROM ACCOUNT,6604.0,7004.0,YZ,DUCHOD
1524,CREDIT,TRANSFER FROM ACCOUNT,4758.0,14474.0,GH,DUCHOD
1538,CREDIT,TRANSFER FROM ACCOUNT,6745.0,14190.0,EF,DUCHOD
1544,CREDIT,TRANSFER FROM ACCOUNT,6614.0,13428.0,CD,DUCHOD
1546,CREDIT,TRANSFER FROM ACCOUNT,6310.0,19630.0,KL,DUCHOD
1549,CREDIT,TRANSFER FROM ACCOUNT,6434.0,26615.7,OP,DUCHOD
1552,CREDIT,TRANSFER FROM ACCOUNT,5671.0,11742.0,UV,DUCHOD
1559,CREDIT,TRANSFER FROM ACCOUNT,5582.0,6682.0,QR,DUCHOD
1563,CREDIT,TRANSFER FROM ACCOUNT,4276.0,17858.8,UV,DUCHOD
1568,ISSUE,TRANSFER TO ACCOUNT,800.0,73271.2,OP,unknown
1575,CREDIT,TRANSFER FROM ACCOUNT,4327.0,14117.3,AB,DUCHOD
1578,CREDIT,TRANSFER FROM ACCOUNT,6698.0,20994.0,YZ,DUCHOD
1579,CREDIT,TRANSFER FROM ACCOUNT,6582.0,13381.3,EF,DUCHOD
1591,CREDIT,TRANSFER FROM ACCOUNT,5009.0,20292.7,AB,DUCHOD
1596,CREDIT,TRANSFER FROM ACCOUNT,5740.0,11895.7,GH,DUCHOD
1599,CREDIT,TRANSFER FROM ACCOUNT,5355.0,11610.0,CD,DUCHOD
1602,CREDIT,TRANSFER FROM ACCOUNT,4729.0,14922.5,AB,DUCHOD
1605,CREDIT,TRANSFER FROM ACCOUNT,5718.0,23439.7,UV,DUCHOD
1609,ISSUE,TRANSFER TO ACCOUNT,2687.0,70584.2,OP,SIPO
1634,CREDIT,TRANSFER FROM ACCOUNT,6148.0,19590.4,CD,DUCHOD
1635,CREDIT,TRANSFER FROM ACCOUNT,4470.0,18343.5,CD,DUCHOD
1637,CREDIT,TRANSFER FROM ACCOUNT,5781.0,12478.2,YZ,DUCHOD
1641,CREDIT,TRANSFER FROM ACCOUNT,5672.0,11658.4,OP,DUCHOD
1642,CREDIT,TRANSFER FROM ACCOUNT,4197.0,4397.0,IJ,DUCHOD
1646,CREDIT,TRANSFER FROM ACCOUNT,4519.0,4919.0,ST,DUCHOD
1647,CREDIT,TRANSFER FROM ACCOUNT,4164.0,4864.0,MN,DUCHOD
2227,CREDIT,TRANSFER FROM ACCOUNT,4843.0,9886.0,AB,DUCHOD
2239,CREDIT,TRANSFER FROM ACCOUNT,5123.0,26510.5,YZ,DUCHOD
2241,CREDIT,TRANSFER FROM ACCOUNT,4807.0,14921.0,OP,DUCHOD
2245,CREDIT,TRANSFER FROM ACCOUNT,4514.0,4514.0,AB,DUCHOD
2255,CREDIT,TRANSFER FROM ACCOUNT,5224.0,21696.0,CD,DUCHOD
2256,CREDIT,TRANSFER FROM ACCOUNT,4203.0,13109.0,OP,DUCHOD
2258,CREDIT,TRANSFER FROM ACCOUNT,5079.0,11258.0,UV,DUCHOD
2259,ISSUE,TRANSFER TO ACCOUNT,956.0,70740.2,AB,POJISTNE
2260,CREDIT,TRANSFER FROM ACCOUNT,5029.0,20516.0,UV,DUCHOD
2262,CREDIT,TRANSFER FROM ACCOUNT,6238.0,26052.0,UV,DUCHOD
2275,CREDIT,TRANSFER FROM ACCOUNT,4718.0,14654.0,OP,DUCHOD
2277,CREDIT,TRANSFER FROM ACCOUNT,4271.0,9242.0,CD,DUCHOD
2285,ISSUE,TRANSFER TO ACCOUNT,1591.0,49849.4,WX,unknown
2287,CREDIT,TRANSFER FROM ACCOUNT,6388.0,19764.0,YZ,DUCHOD
2297,ISSUE,TRANSFER TO ACCOUNT,3168.0,23342.5,QR,SIPO
2300,CREDIT,TRANSFER FROM ACCOUNT,6411.0,6611.0,GH,DUCHOD
2308,CREDIT,TRANSFER FROM ACCOUNT,5859.0,23736.0,GH,DUCHOD
2309,CREDIT,TRANSFER FROM ACCOUNT,6934.0,21002.0,QR,DUCHOD
2313,CREDIT,TRANSFER FROM ACCOUNT,6668.0,7568.0,GH,DUCHOD
2317,CREDIT,TRANSFER FROM ACCOUNT,4356.0,17724.0,GH,DUCHOD
2318,CREDIT,TRANSFER FROM ACCOUNT,5915.0,18045.0,ST,DUCHOD
2320,CREDIT,TRANSFER FROM ACCOUNT,6689.0,27318.8,ST,DUCHOD
2321,CREDIT,TRANSFER FROM ACCOUNT,6060.0,6460.0,KL,DUCHOD
2327,ISSUE,TRANSFER TO ACCOUNT,9612.0,78423.0,EF,SIPO
2330,CREDIT,TRANSFER FROM ACCOUNT,4555.0,14565.0,QR,DUCHOD
2334,CREDIT,TRANSFER FROM ACCOUNT,6153.0,19559.0,MN,DUCHOD
2335,ISSUE,TRANSFER TO ACCOUNT,3572.0,46277.4,AB,POJISTNE
2336,CREDIT,TRANSFER FROM ACCOUNT,5039.0,20556.0,MN,DUCHOD
2340,CREDIT,TRANSFER FROM ACCOUNT,4212.0,17548.0,WX,DUCHOD
2349,ISSUE,TRANSFER TO ACCOUNT,6327.0,68504.8,ST,SIPO
2355,CREDIT,TRANSFER FROM ACCOUNT,5081.0,16043.0,WX,DUCHOD
2365,CREDIT,TRANSFER FROM ACCOUNT,5298.0,26980.4,UV,DUCHOD
2367,CREDIT,TRANSFER FROM ACCOUNT,4042.0,12626.0,CD,DUCHOD
2378,CREDIT,TRANSFER FROM ACCOUNT,5544.0,22676.0,GH,DUCHOD
2381,CREDIT,TRANSFER FROM ACCOUNT,5448.0,17244.0,IJ,DUCHOD
2384,CREDIT,TRANSFER FROM ACCOUNT,6932.0,21696.0,WX,DUCHOD
2390,ISSUE,TRANSFER TO ACCOUNT,7421.0,38856.4,EF,SIPO
2404,ISSUE,TRANSFER TO ACCOUNT,2070.0,71074.8,MN,unknown
2406,ISSUE,TRANSFER TO ACCOUNT,8110.0,62964.8,EF,SIPO
2409,ISSUE,TRANSFER TO ACCOUNT,3839.0,32789.1,OP,SIPO
2411,CREDIT,TRANSFER FROM ACCOUNT,5271.0,5671.0,IJ,DUCHOD
2413,CREDIT,TRANSFER FROM ACCOUNT,6559.0,13718.0,GH,DUCHOD
2418,CREDIT,TRANSFER FROM ACCOUNT,5993.0,7093.0,UV,DUCHOD
2422,CREDIT,TRANSFER FROM ACCOUNT,5842.0,6242.0,KL,DUCHOD
2427,CREDIT,TRANSFER FROM ACCOUNT,6303.0,19909.0,AB,DUCHOD
2428,CREDIT,TRANSFER FROM ACCOUNT,6567.0,7667.0,YZ,DUCHOD
2452,CREDIT,TRANSFER FROM ACCOUNT,6177.0,13254.0,IJ,DUCHOD
2457,ISSUE,TRANSFER TO ACCOUNT,5932.0,48984.4,WX,SIPO
2464,ISSUE,TRANSFER TO ACCOUNT,2736.0,24244.4,YZ,SIPO
2467,CREDIT,TRANSFER FROM ACCOUNT,5439.0,17117.0,QR,DUCHOD
2469,ISSUE,TRANSFER TO ACCOUNT,3419.0,103028.2,YZ,unknown
2470,CREDIT,TRANSFER FROM ACCOUNT,6242.0,25468.0,AB,DUCHOD
2471,CREDIT,TRANSFER FROM ACCOUNT,6540.0,20020.0,WX,DUCHOD
2480,ISSUE,TRANSFER TO ACCOUNT,4065.0,49906.0,CD,POJISTNE
2481,ISSUE,TRANSFER TO ACCOUNT,3596.0,53971.0,QR,SIPO
2496,CREDIT,TRANSFER FROM ACCOUNT,5210.0,6110.0,ST,DUCHOD
2513,ISSUE,TRANSFER TO ACCOUNT,2042.0,46507.7,EF,SIPO
2518,CREDIT,TRANSFER FROM ACCOUNT,6007.0,30737.1,MN,DUCHOD
2522,CREDIT,TRANSFER FROM ACCOUNT,5922.0,18571.7,CD,DUCHOD
2535,CREDIT,TRANSFER FROM ACCOUNT,4236.0,9472.0,AB,DUCHOD
2542,CREDIT,TRANSFER FROM ACCOUNT,6207.0,29243.9,YZ,DUCHOD
2546,ISSUE,TRANSFER TO ACCOUNT,7663.0,41319.5,UV,SIPO
2552,CREDIT,TRANSFER FROM ACCOUNT,6604.0,13608.0,YZ,DUCHOD
2558,CREDIT,TRANSFER FROM ACCOUNT,4758.0,19232.0,GH,DUCHOD
2562,ISSUE,TRANSFER TO ACCOUNT,7591.0,42866.3,YZ,SIPO
2573,CREDIT,TRANSFER FROM ACCOUNT,6745.0,20935.0,EF,DUCHOD
2581,CREDIT,TRANSFER FROM ACCOUNT,6614.0,20042.0,CD,DUCHOD
2585,CREDIT,TRANSFER FROM ACCOUNT,6310.0,25940.0,KL,DUCHOD
2589,CREDIT,TRANSFER FROM ACCOUNT,6434.0,31579.9,OP,DUCHOD
2593,CREDIT,TRANSFER FROM ACCOUNT,5671.0,17413.0,UV,DUCHOD
2600,ISSUE,TRANSFER TO ACCOUNT,508.0,32281.1,YZ,unknown
2603,CREDIT,TRANSFER FROM ACCOUNT,5582.0,12264.0,QR,DUCHOD
2606,CREDIT,TRANSFER FROM ACCOUNT,4276.0,22155.6,UV,DUCHOD
2607,ISSUE,TRANSFER TO ACCOUNT,4167.0,98861.2,QR,SIPO
2612,ISSUE,TRANSFER TO ACCOUNT,3360.0,27377.1,KL,SIPO
2614,ISSUE,TRANSFER TO ACCOUNT,800.0,26247.9,OP,unknown
2616,ISSUE,TRANSFER TO ACCOUNT,1474.0,48432.0,OP,unknown
2624,CREDIT,TRANSFER FROM ACCOUNT,4327.0,18466.9,AB,DUCHOD
2626,CREDIT,TRANSFER FROM ACCOUNT,6698.0,27203.4,YZ,DUCHOD
2627,CREDIT,TRANSFER FROM ACCOUNT,6582.0,19991.6,EF,DUCHOD
2634,CREDIT,TRANSFER FROM ACCOUNT,4544.0,5044.0,OP,DUCHOD
2641,CREDIT,TRANSFER FROM ACCOUNT,5009.0,25323.4,AB,DUCHOD
2650,ISSUE,TRANSFER TO ACCOUNT,1017.0,88173.8,IJ,POJISTNE
2651,ISSUE,TRANSFER TO ACCOUNT,733.0,81853.0,CD,unknown
2652,ISSUE,TRANSFER TO ACCOUNT,6892.0,74961.0,UV,SIPO
2654,ISSUE,TRANSFER TO ACCOUNT,3662.0,25581.9,OP,SIPO
2655,CREDIT,TRANSFER FROM ACCOUNT,5740.0,17661.3,GH,DUCHOD
2660,CREDIT,TRANSFER FROM ACCOUNT,5355.0,16965.0,CD,DUCHOD
2664,CREDIT,TRANSFER FROM ACCOUNT,4729.0,19674.2,AB,DUCHOD
2666,CREDIT,TRANSFER FROM ACCOUNT,5718.0,29183.6,UV,DUCHOD
2670,ISSUE,TRANSFER TO ACCOUNT,2687.0,23560.9,OP,SIPO
2689,CREDIT,TRANSFER FROM ACCOUNT,5921.0,6521.0,EF,DUCHOD
2698,CREDIT,TRANSFER FROM ACCOUNT,6148.0,25768.6,CD,DUCHOD
2699,CREDIT,TRANSFER FROM ACCOUNT,4470.0,22833.8,CD,DUCHOD
2701,ISSUE,TRANSFER TO ACCOUNT,573.0,35931.8,EF,unknown
2703,ISSUE,TRANSFER TO ACCOUNT,599.0,51522.0,GH,POJISTNE
2704,CREDIT,TRANSFER FROM ACCOUNT,5781.0,18287.0,YZ,DUCHOD
2709,ISSUE,TRANSFER TO ACCOUNT,4297.0,25963.8,QR,SIPO
2715,CREDIT,TRANSFER FROM ACCOUNT,5672.0,17355.3,OP,DUCHOD
2716,CREDIT,TRANSFER FROM ACCOUNT,4197.0,8594.0,IJ,DUCHOD
2719,CREDIT,TRANSFER FROM ACCOUNT,6686.0,7086.0,ST,DUCHOD
2722,CREDIT,TRANSFER FROM ACCOUNT,4519.0,9449.6,ST,DUCHOD
2723,CREDIT,TRANSFER FROM ACCOUNT,4164.0,9028.0,MN,DUCHOD
2724,CREDIT,TRANSFER FROM ACCOUNT,6193.0,6693.0,YZ,DUCHOD
2739,CREDIT,TRANSFER FROM ACCOUNT,4316.0,4616.0,CD,DUCHOD
3561,CREDIT,TRANSFER FROM ACCOUNT,4843.0,14729.0,AB,DUCHOD
3563,CREDIT,TRANSFER FROM ACCOUNT,5953.0,6653.0,EF,DUCHOD
3578,ISSUE,TRANSFER TO ACCOUNT,9541.0,44153.8,IJ,SIPO
3579,CREDIT,TRANSFER FROM ACCOUNT,5123.0,28536.5,YZ,DUCHOD
3581,CREDIT,TRANSFER FROM ACCOUNT,4807.0,19728.0,OP,DUCHOD
3587,CREDIT,TRANSFER FROM ACCOUNT,4514.0,9646.5,AB,DUCHOD
3588,ISSUE,TRANSFER TO ACCOUNT,538.0,37881.5,OP,unknown
3599,ISSUE,TRANSFER TO ACCOUNT,169.0,32232.7,AB,POJISTNE
3606,CREDIT,TRANSFER FROM ACCOUNT,5224.0,26920.0,CD,DUCHOD
3607,ISSUE,TRANSFER TO ACCOUNT,19.0,26901.0,EF,unknown
3608,CREDIT,TRANSFER FROM ACCOUNT,4203.0,17312.0,OP,DUCHOD
3611,CREDIT,TRANSFER FROM ACCOUNT,4200.0,4600.0,OP,DUCHOD
3612,CREDIT,TRANSFER FROM ACCOUNT,5079.0,16337.0,UV,DUCHOD
3613,ISSUE,TRANSFER TO ACCOUNT,956.0,31481.0,AB,POJISTNE
3614,CREDIT,TRANSFER FROM ACCOUNT,5029.0,25545.0,UV,DUCHOD
3616,CREDIT,TRANSFER FROM ACCOUNT,6238.0,32290.0,UV,DUCHOD
3623,ISSUE,TRANSFER TO ACCOUNT,825.0,73979.6,QR,SIPO
3624,ISSUE,TRANSFER TO ACCOUNT,115.0,36634.7,UV,unknown
3626,ISSUE,TRANSFER TO ACCOUNT,3844.0,41145.8,MN,unknown
3632,CREDIT,TRANSFER FROM ACCOUNT,4718.0,19372.0,OP,DUCHOD
3633,CREDIT,TRANSFER FROM ACCOUNT,4271.0,13513.0,CD,DUCHOD
3642,ISSUE,TRANSFER TO ACCOUNT,1591.0,29089.2,WX,unknown
3643,CREDIT,TRANSFER FROM ACCOUNT,6388.0,26152.0,YZ,DUCHOD
3653,CREDIT,TRANSFER FROM ACCOUNT,4350.0,5250.0,UV,DUCHOD
3657,ISSUE,TRANSFER TO ACCOUNT,3168.0,25368.5,QR,SIPO
3660,CREDIT,TRANSFER FROM ACCOUNT,6411.0,13022.0,GH,DUCHOD
3665,ISSUE,TRANSFER TO ACCOUNT,2643.0,26095.6,WX,SIPO
3673,CREDIT,TRANSFER FROM ACCOUNT,5859.0,29595.0,GH,DUCHOD
3677,ISSUE,TRANSFER TO ACCOUNT,2300.0,27988.3,IJ,POJISTNE
3679,CREDIT,TRANSFER FROM ACCOUNT,6934.0,27936.0,QR,DUCHOD
3680,ISSUE,TRANSFER TO ACCOUNT,2850.0,19314.0,AB,SIPO
3684,ISSUE,TRANSFER TO ACCOUNT,2360.0,29930.0,EF,SIPO
3686,CREDIT,TRANSFER FROM ACCOUNT,6668.0,14236.0,GH,DUCHOD
3687,ISSUE,TRANSFER TO ACCOUNT,188.0,33125.9,AB,unknown
3691,CREDIT,TRANSFER FROM ACCOUNT,4356.0,22080.0,GH,DUCHOD
3693,CREDIT,TRANSFER FROM ACCOUNT,5915.0,23960.0,ST,DUCHOD
3695,CREDIT,TRANSFER FROM ACCOUNT,6689.0,33913.8,ST,DUCHOD
3696,CREDIT,TRANSFER FROM ACCOUNT,6060.0,12520.0,KL,DUCHOD
3704,ISSUE,TRANSFER TO ACCOUNT,9612.0,38814.0,EF,SIPO
3707,CREDIT,TRANSFER FROM ACCOUNT,4555.0,19120.0,QR,DUCHOD
3713,CREDIT,TRANSFER FROM ACCOUNT,6153.0,25712.0,MN,DUCHOD
3714,CREDIT,TRANSFER FROM ACCOUNT,4442.0,4842.0,OP,DUCHOD
3716,ISSUE,TRANSFER TO ACCOUNT,3572.0,25517.2,AB,POJISTNE
3717,CREDIT,TRANSFER FROM ACCOUNT,5039.0,25595.0,MN,DUCHOD
3721,CREDIT,TRANSFER FROM ACCOUNT,4212.0,21760.0,WX,DUCHOD
3728,ISSUE,TRANSFER TO ACCOUNT,6327.0,56509.7,ST,SIPO
3733,ISSUE,TRANSFER TO ACCOUNT,601.0,16574.0,EF,unknown
3735,CREDIT,TRANSFER FROM ACCOUNT,5081.0,21124.0,WX,DUCHOD
3736,ISSUE,TRANSFER TO ACCOUNT,361.0,25734.6,QR,unknown
