index,type,operation,amount,balance,bank,k_symbol,anomaly
41,ISSUE,TRANSFER TO ACCOUNT,6805.0,68650.0,EF,unknown,0
42,ISSUE,TRANSFER TO ACCOUNT,8654.0,54878.0,EF,unknown,0
43,ISSUE,TRANSFER TO ACCOUNT,12978.0,77618.0,EF,unknown,0
44,ISSUE,TRANSFER TO ACCOUNT,11944.0,69943.0,EF,unknown,0
45,ISSUE,TRANSFER TO ACCOUNT,6424.0,45377.0,CD,SIPO,0
46,ISSUE,TRANSFER TO ACCOUNT,9104.0,64537.0,CD,SIPO,0
47,ISSUE,TRANSFER TO ACCOUNT,5050.0,44305.0,EF,unknown,0
48,ISSUE,TRANSFER TO ACCOUNT,8991.0,57762.0,EF,unknown,0
49,ISSUE,TRANSFER TO ACCOUNT,10734.0,87011.0,EF,unknown,0
50,ISSUE,TRANSFER TO ACCOUNT,7503.0,41303.0,CD,SIPO,0
51,ISSUE,TRANSFER TO ACCOUNT,7669.0,58709.0,EF,unknown,0
52,ISSUE,TRANSFER TO ACCOUNT,12561.0,68173.0,EF,unknown,0
53,ISSUE,TRANSFER TO ACCOUNT,8354.0,62149.0,EF,unknown,0
54,ISSUE,TRANSFER TO ACCOUNT,7744.0,62168.0,EF,unknown,0
55,ISSUE,TRANSFER TO ACCOUNT,3898.0,47491.0,EF,unknown,0
56,ISSUE,TRANSFER TO ACCOUNT,5916.0,48755.0,EF,unknown,0
57,ISSUE,TRANSFER TO ACCOUNT,3669.0,42816.0,EF,unknown,0
58,ISSUE,TRANSFER TO ACCOUNT,4628.0,48547.0,EF,unknown,0
59,ISSUE,TRANSFER TO ACCOUNT,6807.0,60150.0,EF,unknown,0
60,ISSUE,TRANSFER TO ACCOUNT,4901.0,49268.0,EF,unknown,0
61,ISSUE,TRANSFER TO ACCOUNT,9381.0,41085.0,CD,DUCHOD,0
62,ISSUE,TRANSFER TO ACCOUNT,3074.0,47240.0,EF,unknown,0
63,ISSUE,TRANSFER TO ACCOUNT,6933.0,48091.0,EF,unknown,0
64,ISSUE,TRANSFER TO ACCOUNT,2690.0,51159.0,EF,unknown,0
65,ISSUE,TRANSFER TO ACCOUNT,7814.0,50235.0,EF,unknown,0
66,ISSUE,TRANSFER TO ACCOUNT,2999.0,44125.0,EF,unknown,0
67,ISSUE,TRANSFER TO ACCOUNT,2840.0,35324.0,CD,SIPO,0
68,ISSUE,TRANSFER TO ACCOUNT,3184.0,37534.0,EF,unknown,0
69,ISSUE,TRANSFER TO ACCOUNT,3413.0,30304.0,CD,SIPO,0
70,ISSUE,TRANSFER TO ACCOUNT,2021.0,39893.0,EF,unknown,0
71,ISSUE,TRANSFER TO ACCOUNT,10870.0,69907.0,EF,unknown,0
72,ISSUE,TRANSFER TO ACCOUNT,5315.0,28720.0,EF,DUCHOD,0
73,CREDIT,TRANSFER FROM ACCOUNT,5007.0,23090.0,KL,DUCHOD,0
74,CREDIT,TRANSFER FROM ACCOUNT,6778.0,27293.0,KL,DUCHOD,0
75,ISSUE,TRANSFER TO ACCOUNT,1512.0,34071.0,EF,unknown,0
76,CREDIT,TRANSFER FROM ACCOUNT,5556.0,28329.0,KL,DUCHOD,0
77,ISSUE,TRANSFER TO ACCOUNT,4415.0,48374.0,EF,unknown,0
78,ISSUE,TRANSFER TO ACCOUNT,2186.0,41318.0,EF,unknown,0
79,ISSUE,TRANSFER TO ACCOUNT,2970.0,48650.0,EF,unknown,0
80,CREDIT,TRANSFER FROM ACCOUNT,6324.0,20943.0,KL,DUCHOD,0
81,CREDIT,TRANSFER FROM ACCOUNT,10645.0,50401.0,KL,DUCHOD,0
82,CREDIT,TRANSFER FROM ACCOUNT,6018.0,27278.0,KL,DUCHOD,0
83,CREDIT,TRANSFER FROM ACCOUNT,6272.0,26810.0,KL,DUCHOD,0
84,CREDIT,TRANSFER FROM ACCOUNT,7361.0,34034.0,KL,DUCHOD,0
85,CREDIT,TRANSFER FROM ACCOUNT,5546.0,26290.0,KL,DUCHOD,0
86,ISSUE,TRANSFER TO ACCOUNT,755.0,40957.0,EF,unknown,0
87,ISSUE,TRANSFER TO ACCOUNT,2830.0,39832.0,EF,unknown,0
88,CREDIT,TRANSFER FROM ACCOUNT,5536.0,28423.0,KL,DUCHOD,0
89,ISSUE,TRANSFER TO ACCOUNT,3415.0,42152.0,EF,unknown,0
90,CREDIT,TRANSFER FROM ACCOUNT,5942.0,27621.0,KL,DUCHOD,0
91,CREDIT,TRANSFER FROM ACCOUNT,7151.0,33802.0,KL,DUCHOD,0
92,CREDIT,TRANSFER FROM ACCOUNT,5645.0,23631.0,KL,DUCHOD,0
93,ISSUE,TRANSFER TO ACCOUNT,5487.0,50017.0,EF,unknown,0
94,CREDIT,TRANSFER FROM ACCOUNT,8347.0,37401.0,KL,DUCHOD,0
95,ISSUE,TRANSFER TO ACCOUNT,3232.0,25470.0,CD,SIPO,0
96,ISSUE,TRANSFER TO ACCOUNT,2848.0,33870.0,CD,SIPO,0
97,CREDIT,TRANSFER FROM ACCOUNT,5735.0,31057.0,KL,DUCHOD,0
98,ISSUE,TRANSFER TO ACCOUNT,1525.0,20512.0,CD,SIPO,0
99,CREDIT,TRANSFER FROM ACCOUNT,6073.0,23558.0,KL,DUCHOD,0
100,CREDIT,TRANSFER FROM ACCOUNT,6215.0,26271.0,KL,DUCHOD,0
101,CREDIT,TRANSFER FROM ACCOUNT,7223.0,27192.0,KL,DUCHOD,0
102,CREDIT,TRANSFER FROM ACCOUNT,9324.0,42353.0,KL,DUCHOD,0
103,ISSUE,TRANSFER TO ACCOUNT,4061.0,39489.0,EF,unknown,0
104,CREDIT,TRANSFER FROM ACCOUNT,5870.0,24430.0,KL,DUCHOD,0
105,ISSUE,TRANSFER TO ACCOUNT,2337.0,24978.0,CD,SIPO,0
106,CREDIT,TRANSFER FROM ACCOUNT,5363.0,19850.0,KL,DUCHOD,0
107,CREDIT,TRANSFER FROM ACCOUNT,5131.0,25067.0,KL,DUCHOD,0
108,CREDIT,TRANSFER FROM ACCOUNT,5742.0,30662.0,KL,DUCHOD,0
109,CREDIT,TRANSFER FROM ACCOUNT,6129.0,27168.0,KL,DUCHOD,0
110,CREDIT,TRANSFER FROM ACCOUNT,5406.0,27065.0,KL,DUCHOD,0
111,CREDIT,TRANSFER FROM ACCOUNT,5598.0,20317.0,KL,DUCHOD,0
112,ISSUE,TRANSFER TO ACCOUNT,1.0,22603.0,EF,unknown,0
113,ISSUE,TRANSFER TO ACCOUNT,1.0,20847.0,CD,SIPO,0
114,ISSUE,TRANSFER TO ACCOUNT,1357.0,39614.0,EF,unknown,0
115,CREDIT,TRANSFER FROM ACCOUNT,5622.0,27183.0,KL,DUCHOD,0
116,CREDIT,TRANSFER FROM ACCOUNT,5606.0,22122.0,KL,DUCHOD,0
117,CREDIT,TRANSFER FROM ACCOUNT,6480.0,30565.0,ST,DUCHOD,0
118,CREDIT,TRANSFER FROM ACCOUNT,6474.0,37059.0,KL,DUCHOD,0
119,CREDIT,TRANSFER FROM ACCOUNT,9934.0,50993.0,KL,DUCHOD,0
120,ISSUE,TRANSFER TO ACCOUNT,6039.0,45855.0,AB,unknown,0
121,ISSUE,TRANSFER TO ACCOUNT,2320.0,50328.0,EF,unknown,0
122,CREDIT,TRANSFER FROM ACCOUNT,5917.0,22002.0,KL,DUCHOD,0
123,CREDIT,TRANSFER FROM ACCOUNT,7706.0,39275.0,KL,DUCHOD,0
124,CREDIT,TRANSFER FROM ACCOUNT,5596.0,26424.0,KL,DUCHOD,0
125,CREDIT,TRANSFER FROM ACCOUNT,3791.0,16599.0,KL,DUCHOD,0
126,CREDIT,TRANSFER FROM ACCOUNT,5259.0,25439.0,KL,DUCHOD,0
127,CREDIT,TRANSFER FROM ACCOUNT,5572.0,25166.0,KL,DUCHOD,0
128,CREDIT,TRANSFER FROM ACCOUNT,4175.0,15604.0,KL,DUCHOD,0
129,CREDIT,TRANSFER FROM ACCOUNT,4459.0,16674.0,KL,DUCHOD,0
130,CREDIT,TRANSFER FROM ACCOUNT,5122.0,27000.0,KL,DUCHOD,0
131,ISSUE,TRANSFER TO ACCOUNT,2939.0,36224.0,EF,unknown,0
132,ISSUE,TRANSFER TO ACCOUNT,1.0,9076.0,CD,SIPO,0
133,CREDIT,TRANSFER FROM ACCOUNT,5673.0,30221.0,KL,DUCHOD,0
134,ISSUE,TRANSFER TO ACCOUNT,1.0,30868.0,EF,unknown,0
135,ISSUE,TRANSFER TO ACCOUNT,8280.0,69001.0,AB,unknown,0
136,ISSUE,TRANSFER TO ACCOUNT,11172.0,81934.0,AB,unknown,0
137,CREDIT,TRANSFER FROM ACCOUNT,4076.0,15233.0,KL,DUCHOD,0
138,ISSUE,TRANSFER TO ACCOUNT,2141.0,32995.0,CD,SIPO,0
139,ISSUE,TRANSFER TO ACCOUNT,1090.0,23961.0,CD,SIPO,0
140,CREDIT,TRANSFER FROM ACCOUNT,5144.0,22562.0,KL,DUCHOD,0
141,CREDIT,TRANSFER FROM ACCOUNT,10914.0,52612.0,ST,DUCHOD,0
142,CREDIT,TRANSFER FROM ACCOUNT,7036.0,26272.0,KL,DUCHOD,0
143,CREDIT,TRANSFER FROM ACCOUNT,5750.0,23219.0,ST,DUCHOD,0
144,CREDIT,TRANSFER FROM ACCOUNT,5328.0,20725.0,ST,DUCHOD,0
145,ISSUE,TRANSFER TO ACCOUNT,1.0,31970.0,EF,unknown,0
146,ISSUE,TRANSFER TO ACCOUNT,1.0,19789.0,EF,unknown,0
147,ISSUE,TRANSFER TO ACCOUNT,1.0,24829.0,CD,SIPO,0
148,CREDIT,TRANSFER FROM ACCOUNT,5283.0,21963.0,KL,DUCHOD,0
149,CREDIT,TRANSFER FROM ACCOUNT,6161.0,21706.0,KL,DUCHOD,0
150,ISSUE,TRANSFER TO ACCOUNT,2244.0,22301.0,CD,SIPO,0
151,CREDIT,TRANSFER FROM ACCOUNT,5436.0,27263.0,KL,DUCHOD,0
152,CREDIT,TRANSFER FROM ACCOUNT,6781.0,28877.0,ST,DUCHOD,0
153,CREDIT,TRANSFER FROM ACCOUNT,4735.0,21654.0,KL,DUCHOD,0
154,ISSUE,TRANSFER TO ACCOUNT,1.0,39603.0,EF,unknown,0
155,CREDIT,TRANSFER FROM ACCOUNT,6120.0,23499.0,ST,DUCHOD,0
156,CREDIT,TRANSFER FROM ACCOUNT,6105.0,27949.0,ST,DUCHOD,0
157,CREDIT,TRANSFER FROM ACCOUNT,5751.0,25387.0,KL,DUCHOD,0
158,CREDIT,TRANSFER FROM ACCOUNT,8274.0,38106.0,ST,DUCHOD,0
159,ISSUE,TRANSFER TO ACCOUNT,1.0,28548.0,EF,unknown,0
160,ISSUE,TRANSFER TO ACCOUNT,1.0,23422.0,EF,unknown,0
161,CREDIT,TRANSFER FROM ACCOUNT,5491.0,23830.0,ST,DUCHOD,0
162,ISSUE,TRANSFER TO ACCOUNT,1.0,-1525.0,CD,SIPO,0
163,ISSUE,TRANSFER TO ACCOUNT,4196.0,44466.0,AB,unknown,0
164,ISSUE,TRANSFER TO ACCOUNT,305.0,16285.0,CD,SIPO,0
165,ISSUE,TRANSFER TO ACCOUNT,1.0,15183.0,CD,SIPO,0
166,ISSUE,TRANSFER TO ACCOUNT,886.0,33346.0,EF,unknown,0
167,CREDIT,TRANSFER FROM ACCOUNT,4023.0,27293.0,ST,DUCHOD,0
168,ISSUE,TRANSFER TO ACCOUNT,1.0,7286.0,CD,SIPO,0
169,CREDIT,TRANSFER FROM ACCOUNT,5125.0,26314.0,ST,DUCHOD,0
170,CREDIT,TRANSFER FROM ACCOUNT,5879.0,16883.0,ST,DUCHOD,0
171,ISSUE,TRANSFER TO ACCOUNT,1.0,23684.0,EF,unknown,0
172,ISSUE,TRANSFER TO ACCOUNT,1.0,36133.0,EF,unknown,0
173,CREDIT,TRANSFER FROM ACCOUNT,4604.0,18472.0,ST,DUCHOD,0
174,ISSUE,TRANSFER TO ACCOUNT,1.0,22204.0,EF,unknown,0
175,CREDIT,TRANSFER FROM ACCOUNT,5603.0,28689.0,ST,DUCHOD,0
176,ISSUE,TRANSFER TO ACCOUNT,2624.0,50732.0,AB,unknown,0
177,ISSUE,TRANSFER TO ACCOUNT,10007.0,75434.0,AB,unknown,0
178,CREDIT,TRANSFER FROM ACCOUNT,5539.0,17430.0,ST,DUCHOD,0
179,ISSUE,TRANSFER TO ACCOUNT,1.0,7240.0,CD,SIPO,0
180,CREDIT,TRANSFER FROM ACCOUNT,6192.0,26070.0,ST,DUCHOD,0
181,CREDIT,TRANSFER FROM ACCOUNT,6177.0,26772.0,ST,DUCHOD,0
182,CREDIT,TRANSFER FROM ACCOUNT,5675.0,25293.0,ST,DUCHOD,0
183,CREDIT,TRANSFER FROM ACCOUNT,5977.0,22764.0,ST,DUCHOD,0
184,CREDIT,TRANSFER FROM ACCOUNT,8024.0,40502.0,ST,DUCHOD,0
185,ISSUE,TRANSFER TO ACCOUNT,1.0,13983.0,CD,SIPO,0
186,CREDIT,TRANSFER FROM ACCOUNT,5641.0,25550.0,ST,DUCHOD,0
187,CREDIT,TRANSFER FROM ACCOUNT,5880.0,28756.0,ST,DUCHOD,0
188,CREDIT,TRANSFER FROM ACCOUNT,5907.0,25248.0,ST,DUCHOD,0
189,CREDIT,TRANSFER FROM ACCOUNT,6225.0,22449.0,ST,DUCHOD,0
190,CREDIT,TRANSFER FROM ACCOUNT,7572.0,29506.0,ST,DUCHOD,0
191,ISSUE,TRANSFER TO ACCOUNT,3141.0,50562.0,AB,unknown,0
192,ISSUE,TRANSFER TO ACCOUNT,8236.0,59750.0,AB,unknown,0
193,CREDIT,TRANSFER FROM ACCOUNT,6005.0,26665.0,ST,DUCHOD,0
194,CREDIT,TRANSFER FROM ACCOUNT,6233.0,23136.0,ST,DUCHOD,0
195,ISSUE,TRANSFER TO ACCOUNT,1839.0,31458.0,AB,unknown,0
196,ISSUE,TRANSFER TO ACCOUNT,2885.0,44256.0,AB,unknown,0
197,CREDIT,TRANSFER FROM ACCOUNT,5802.0,24888.0,ST,DUCHOD,0
198,CREDIT,TRANSFER FROM ACCOUNT,5022.0,16076.0,ST,DUCHOD,0
199,CREDIT,TRANSFER FROM ACCOUNT,4459.0,18260.0,ST,DUCHOD,0
200,CREDIT,TRANSFER FROM ACCOUNT,5521.0,22126.0,ST,DUCHOD,0
201,CREDIT,TRANSFER FROM ACCOUNT,5985.0,24872.0,ST,DUCHOD,0
202,ISSUE,TRANSFER TO ACCOUNT,1.0,17853.0,EF,unknown,0
203,CREDIT,TRANSFER FROM ACCOUNT,6377.0,28752.0,ST,DUCHOD,0
204,CREDIT,TRANSFER FROM ACCOUNT,7372.0,26180.0,ST,DUCHOD,0
205,CREDIT,TRANSFER FROM ACCOUNT,8399.0,28067.0,ST,DUCHOD,0
206,CREDIT,TRANSFER FROM ACCOUNT,7109.0,21664.0,ST,DUCHOD,0
207,CREDIT,TRANSFER FROM ACCOUNT,4970.0,20211.0,ST,DUCHOD,0
208,CREDIT,TRANSFER FROM ACCOUNT,6134.0,23608.0,ST,DUCHOD,0
209,CREDIT,TRANSFER FROM ACCOUNT,5733.0,22577.0,ST,DUCHOD,0
210,CREDIT,TRANSFER FROM ACCOUNT,4734.0,20596.0,ST,DUCHOD,0
211,CREDIT,TRANSFER FROM ACCOUNT,5717.0,24103.0,ST,DUCHOD,0
212,CREDIT,TRANSFER FROM ACCOUNT,6181.0,24679.0,ST,DUCHOD,0
213,CREDIT,TRANSFER FROM ACCOUNT,6012.0,23432.0,ST,DUCHOD,0
214,ISSUE,TRANSFER TO ACCOUNT,6025.0,42814.0,EF,DUCHOD,0
215,ISSUE,TRANSFER TO ACCOUNT,1962.0,44627.0,AB,unknown,0
216,ISSUE,TRANSFER TO ACCOUNT,1.0,22900.0,AB,unknown,0
217,ISSUE,TRANSFER TO ACCOUNT,664.0,33785.0,KL,unknown,0
218,ISSUE,TRANSFER TO ACCOUNT,8545.0,50931.0,EF,DUCHOD,0
219,ISSUE,TRANSFER TO ACCOUNT,2345.0,40914.0,AB,unknown,0
220,ISSUE,TRANSFER TO ACCOUNT,566.0,23657.0,KL,unknown,0
221,ISSUE,TRANSFER TO ACCOUNT,9992.0,51819.0,KL,SIPO,0
222,ISSUE,TRANSFER TO ACCOUNT,7413.0,41361.0,KL,SIPO,0
223,ISSUE,TRANSFER TO ACCOUNT,6559.0,45903.0,ST,SIPO,0
224,ISSUE,TRANSFER TO ACCOUNT,9229.0,48319.0,KL,SIPO,0
225,ISSUE,TRANSFER TO ACCOUNT,8687.0,49501.0,KL,SIPO,0
226,ISSUE,TRANSFER TO ACCOUNT,14073.0,89944.0,KL,unknown,0
227,ISSUE,TRANSFER TO ACCOUNT,7517.0,44380.0,ST,SIPO,0
228,ISSUE,TRANSFER TO ACCOUNT,834.0,42359.0,AB,unknown,0
229,ISSUE,TRANSFER TO ACCOUNT,13505.0,56529.0,KL,SIPO,0
230,ISSUE,TRANSFER TO ACCOUNT,10466.0,53114.0,KL,SIPO,0
231,ISSUE,TRANSFER TO ACCOUNT,3948.0,26573.0,AB,DUCHOD,0
232,ISSUE,TRANSFER TO ACCOUNT,8710.0,85419.0,KL,unknown,0
233,ISSUE,TRANSFER TO ACCOUNT,4299.0,29603.0,KL,SIPO,0
234,ISSUE,TRANSFER TO ACCOUNT,1.0,20058.0,KL,unknown,0
235,ISSUE,TRANSFER TO ACCOUNT,5688.0,32170.0,ST,SIPO,0
236,ISSUE,TRANSFER TO ACCOUNT,5676.0,41109.0,KL,SIPO,0
237,ISSUE,TRANSFER TO ACCOUNT,4847.0,36848.0,ST,SIPO,0
238,ISSUE,TRANSFER TO ACCOUNT,2712.0,38327.0,KL,unknown,0
239,ISSUE,TRANSFER TO ACCOUNT,10959.0,52397.0,ST,SIPO,0
240,ISSUE,TRANSFER TO ACCOUNT,8369.0,40723.0,ST,SIPO,0
241,ISSUE,TRANSFER TO ACCOUNT,3142.0,35776.0,KL,unknown,0
242,ISSUE,TRANSFER TO ACCOUNT,1889.0,37971.0,KL,unknown,0
243,ISSUE,TRANSFER TO ACCOUNT,3693.0,27748.0,KL,SIPO,0
244,ISSUE,TRANSFER TO ACCOUNT,3981.0,35447.0,KL,SIPO,0
245,ISSUE,TRANSFER TO ACCOUNT,10715.0,53026.0,KL,SIPO,0
246,ISSUE,TRANSFER TO ACCOUNT,12748.0,60836.0,KL,SIPO,0
247,ISSUE,TRANSFER TO ACCOUNT,11864.0,54295.0,KL,SIPO,0
248,ISSUE,TRANSFER TO ACCOUNT,8142.0,32096.0,KL,SIPO,0
249,ISSUE,TRANSFER TO ACCOUNT,5660.0,33939.0,ST,SIPO,0
250,ISSUE,TRANSFER TO ACCOUNT,11764.0,70338.0,KL,unknown,0
251,ISSUE,TRANSFER TO ACCOUNT,5814.0,39577.0,KL,SIPO,0
252,ISSUE,TRANSFER TO ACCOUNT,1.0,23429.0,KL,unknown,0
253,ISSUE,TRANSFER TO ACCOUNT,6394.0,40232.0,ST,SIPO,0
254,ISSUE,TRANSFER TO ACCOUNT,8197.0,47988.0,KL,unknown,0
255,ISSUE,TRANSFER TO ACCOUNT,7816.0,50808.0,ST,SIPO,0
256,ISSUE,TRANSFER TO ACCOUNT,7545.0,59804.0,KL,unknown,0
257,ISSUE,TRANSFER TO ACCOUNT,10529.0,67179.0,ST,SIPO,0
258,ISSUE,TRANSFER TO ACCOUNT,13012.0,75473.0,KL,unknown,0
259,ISSUE,TRANSFER TO ACCOUNT,6872.0,51350.0,KL,unknown,0
260,ISSUE,TRANSFER TO ACCOUNT,4281.0,26825.0,KL,SIPO,0
261,ISSUE,TRANSFER TO ACCOUNT,12127.0,57096.0,ST,SIPO,0
262,ISSUE,TRANSFER TO ACCOUNT,2036.0,31133.0,KL,SIPO,0
263,ISSUE,TRANSFER TO ACCOUNT,4858.0,31912.0,KL,SIPO,0
264,ISSUE,TRANSFER TO ACCOUNT,7391.0,41962.0,KL,SIPO,0
265,ISSUE,TRANSFER TO ACCOUNT,4721.0,27578.0,KL,SIPO,0
266,ISSUE,TRANSFER TO ACCOUNT,11511.0,61652.0,ST,SIPO,0
267,ISSUE,TRANSFER TO ACCOUNT,11712.0,50736.0,ST,SIPO,0
268,ISSUE,TRANSFER TO ACCOUNT,5945.0,40254.0,ST,SIPO,0
269,ISSUE,TRANSFER TO ACCOUNT,15303.0,57645.0,KL,SIPO,0
270,ISSUE,TRANSFER TO ACCOUNT,7029.0,45496.0,KL,SIPO,0
271,ISSUE,TRANSFER TO ACCOUNT,11244.0,59020.0,ST,SIPO,0
272,ISSUE,TRANSFER TO ACCOUNT,5827.0,42045.0,ST,SIPO,0
273,ISSUE,TRANSFER TO ACCOUNT,6338.0,67827.0,KL,unknown,0
274,ISSUE,TRANSFER TO ACCOUNT,4461.0,48671.0,KL,unknown,0
275,ISSUE,TRANSFER TO ACCOUNT,13154.0,62552.0,KL,unknown,0
276,ISSUE,TRANSFER TO ACCOUNT,9420.0,59087.0,KL,unknown,0
277,ISSUE,TRANSFER TO ACCOUNT,6796.0,54290.0,KL,SIPO,0
278,ISSUE,TRANSFER TO ACCOUNT,5864.0,32509.0,KL,SIPO,0
279,ISSUE,TRANSFER TO ACCOUNT,7969.0,73362.0,KL,unknown,0
280,ISSUE,TRANSFER TO ACCOUNT,4681.0,10531.0,KL,SIPO,0
281,ISSUE,TRANSFER TO ACCOUNT,16008.0,74140.0,KL,SIPO,0
282,ISSUE,TRANSFER TO ACCOUNT,8462.0,53756.0,ST,SIPO,0
283,ISSUE,TRANSFER TO ACCOUNT,2323.0,29578.0,ST,SIPO,0
284,ISSUE,TRANSFER TO ACCOUNT,11164.0,78442.0,KL,unknown,0
285,ISSUE,TRANSFER TO ACCOUNT,8356.0,27227.0,ST,SIPO,0
286,ISSUE,TRANSFER TO ACCOUNT,11751.0,49061.0,ST,SIPO,0
287,ISSUE,TRANSFER TO ACCOUNT,9628.0,47001.0,KL,SIPO,0
288,ISSUE,TRANSFER TO ACCOUNT,11676.0,57439.0,ST,SIPO,0
289,ISSUE,TRANSFER TO ACCOUNT,3400.0,29746.0,KL,SIPO,0
290,ISSUE,TRANSFER TO ACCOUNT,13576.0,64115.0,KL,unknown,0
291,ISSUE,TRANSFER TO ACCOUNT,12285.0,51058.0,ST,SIPO,0
292,ISSUE,TRANSFER TO ACCOUNT,8027.0,46219.0,ST,SIPO,0
293,ISSUE,TRANSFER TO ACCOUNT,9815.0,46745.0,ST,SIPO,0
294,ISSUE,TRANSFER TO ACCOUNT,7766.0,38022.0,ST,SIPO,0
295,ISSUE,TRANSFER TO ACCOUNT,4556.0,52854.0,KL,unknown,0
296,CREDIT,TRANSFER FROM ACCOUNT,5167.0,29364.0,CD,DUCHOD,0
297,ISSUE,TRANSFER TO ACCOUNT,13379.0,84138.0,KL,unknown,0
298,ISSUE,TRANSFER TO ACCOUNT,14914.0,66673.0,ST,SIPO,0
299,ISSUE,TRANSFER TO ACCOUNT,3438.0,27033.0,KL,SIPO,0
300,ISSUE,TRANSFER TO ACCOUNT,2900.0,34209.0,KL,SIPO,0
301,ISSUE,TRANSFER TO ACCOUNT,2805.0,27273.0,ST,SIPO,0
302,ISSUE,TRANSFER TO ACCOUNT,4118.0,34125.0,ST,SIPO,0
303,ISSUE,TRANSFER TO ACCOUNT,4487.0,37511.0,KL,SIPO,0
304,ISSUE,TRANSFER TO ACCOUNT,10380.0,60563.0,ST,SIPO,0
305,ISSUE,TRANSFER TO ACCOUNT,5433.0,47686.0,KL,unknown,0
306,ISSUE,TRANSFER TO ACCOUNT,11617.0,53442.0,ST,SIPO,0
307,ISSUE,TRANSFER TO ACCOUNT,2876.0,24595.0,KL,SIPO,0
308,CREDIT,TRANSFER FROM ACCOUNT,4542.0,25282.0,CD,DUCHOD,0
309,ISSUE,TRANSFER TO ACCOUNT,3167.0,33652.0,ST,SIPO,0
310,ISSUE,TRANSFER TO ACCOUNT,12256.0,58727.0,ST,SIPO,0
311,ISSUE,TRANSFER TO ACCOUNT,6253.0,33249.0,ST,SIPO,0
312,ISSUE,TRANSFER TO ACCOUNT,2975.0,25327.0,KL,SIPO,0
